,country,location,company,tech,component,phase,investment_value,capacity,status,dt_announce,dt_actual,dt_operational,dt_cancel,jobs,checked,reject-phase,finetune,share-investment
ESP-01197-00521_07_02_00,ESP,Vitoria,Mercedes-Benz,vehicle,battery_vehicle_assembly,initial,-,-,actual,05-2020,05-2020,NA,NA,-,False,False,False,False
ESP-01197-00521_07_05_00,ESP,Vitoria,Mercedes-Benz,vehicle,ICE_vehicle_production,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-01198-00521_01_99_00,ESP,Vitoria-Gasteiz,Mercedes-Benz,battery,NA,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-01198-00521_07_02_00,ESP,Vitoria-Gasteiz,Mercedes-Benz,vehicle,battery_vehicle_assembly,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-00068-07931_06_00_00,ESP,Barcelona,Merlin Properties,solar,deployment,initial,-,-,announced,04-2021,NA,NA,NA,-,True,True,False,False
ESP-00068-07931_01_00_00,ESP,Barcelona,Merlin Properties,data centre,deployment,initial,-,-,announced,-,NA,NA,NA,-,True,False,False,False
ESP-02319-07931_01_00_00,ESP,Bilbao,Merlin Properties,data centre,deployment,initial,-,-,announced,08-2021,NA,NA,NA,-,True,False,False,False
ESP-02319-07931_06_00_00,ESP,Bilbao,Merlin Properties,solar,deployment,initial,-,-,announced,08-2021,NA,NA,NA,-,True,True,False,False
ESP-00668-07931_06_00_00,ESP,Madrid,Merlin Properties,data centre,deployment,initial,-,-,announced,04-2021,NA,NA,NA,-,True,False,False,False
ESP-01099-05577_04_01_00,ESP,Tarragona,Messer,hydrogen,green_hydrogen,initial,-,70 MW,announced,04-2021,NA,NA,NA,-,False,False,False,False
ESP-01099-05577_04_04_00,ESP,Tarragona,Messer,hydrogen,electrolysers,initial,-,70 MW,announced,04-2021,NA,NA,NA,-,False,False,False,False
ESP-02703-07460_06_00_00,ESP,Talaván,Metka,solar,deployment,initial,200 million EUR,300 MW,announced,06-2018,NA,NA,NA,-,False,False,False,False
PRT-02303-07932_04_00_00,PRT,Iberian Peninsula,Mibgas Derivatives,hydrogen,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-06028-06582_06_00_00,PRT,Lisboa,Military Academy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-04066-07933_06_00_00,PRT,Evora,Mirova,solar,deployment,initial,-,-,actual,05-2018,05-2018,NA,NA,-,False,False,False,False
ESP-07570-07933_06_00_00,ESP,Menorca,Mirova,solar,deployment,initial,-,60 MWp,announced,05-2024,NA,NA,NA,-,False,False,False,False
ESP-07570-07933_01_00_00,ESP,Menorca,Mirova,battery,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07513-00532_01_99_00,ESP,Villarreal,Mitsubishi,battery,NA,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07513-00532_04_01_00,ESP,Villarreal,Mitsubishi,hydrogen,green_hydrogen,initial,-,-,announced,05-2021,NA,NA,NA,-,False,False,False,False
ESP-07513-00532_04_04_00,ESP,Villarreal,Mitsubishi,hydrogen,electrolysers,initial,-,-,announced,05-2021,NA,NA,NA,-,False,False,False,False
ESP-07513-00532_06_99_00,ESP,Villarreal,Mitsubishi,solar,NA,initial,-,-,announced,05-2021,NA,NA,NA,-,False,False,False,False
PRT-01133-07934_07_02_00,PRT,Tramagal,Mitsubishi Fuso Truck Europe,vehicle,battery_vehicle_assembly,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-03042-03213_06_05_00,ESP,Mondragon,Mondragon,solar,inverters,initial,-,-,announced,04-2018,NA,NA,NA,-,False,False,False,False
ESP-06917-07935_06_00_00,ESP,Mula,Mula Solar,solar,deployment,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
ESP-05957-05624_06_00_00,ESP,Andalucía,Mytilineos,solar,deployment,initial,-,50 MW,actual,12-2020,01-2021,NA,NA,-,False,False,False,False
ESP-07574-07940_06_00_00,ESP,Alfarrasi,Nanosolar,solar,deployment,initial,-,10.63 MW,operational,11-2012,11-2012,11-2012,NA,-,False,False,False,False
PRT-07575-07942_08_00_00,PRT,Northern Portugal,National Laboratory of Energy and Geology,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-07575-07942_06_00_00,PRT,Northern Portugal,National Laboratory of Energy and Geology,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-06957-07942_08_00_00,PRT,Southern Portugal,National Laboratory of Energy and Geology,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-06957-07942_06_00_00,PRT,Southern Portugal,National Laboratory of Energy and Geology,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-07576-07942_08_00_00,PRT,Western Portugal,National Laboratory of Energy and Geology,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
PRT-07576-07942_06_00_00,PRT,Western Portugal,National Laboratory of Energy and Geology,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-03086-07943_06_00_00,ESP,Badajoz,Naturener Group,solar,deployment,initial,-,9.1 MW,actual,06-2010,06-2010,NA,NA,150,False,False,False,False
ESP-05200-01205_09_02_00,ESP,A Coruña,Naturgy,biomass,bioenergy_production,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
ESP-07577-01205_08_00_00,ESP,Agüimes,Naturgy,wind,deployment,initial,10.6 million euros,10.75 MW,operational,-,-,06-2023,NA,150,False,False,False,False
ESP-07577-01205_06_00_00,ESP,Agüimes,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-05201-01205_04_00_00,ESP,Alcázar de San Juan,Naturgy,hydrogen,deployment,initial,-,"75,500 kg",announced,02-2021,NA,NA,NA,-,False,False,False,False
ESP-07375-01205_06_00_00,ESP,Almodóvar del Campo,Naturgy,solar,deployment,initial,-,-,actual,-,05-2019,NA,NA,-,False,False,False,False
ESP-05202-01205_06_00_00,ESP,Almonacid de Zorita,Naturgy,solar,deployment,initial,76 million EUR,-,actual,-,12-2024,NA,NA,-,False,False,False,False
ESP-05202-01205_06_00_01,ESP,Almonacid de Zorita,Naturgy,solar,deployment,first expansion,76 million EUR,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-01800-01205_08_00_00,ESP,Andalusia,Naturgy,wind,deployment,initial,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-01800-01205_06_00_00,ESP,Andalusia,Naturgy,solar,deployment,initial,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-01800-01205_06_00_01,ESP,Andalusia,Naturgy,solar,deployment,first expansion,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-02391-01205_08_00_00,ESP,Asturias,Naturgy,wind,deployment,initial,-,-,announced,08-2021,NA,NA,NA,-,False,False,False,False
ESP-02391-01205_04_01_00,ESP,Asturias,Naturgy,hydrogen,green_hydrogen,initial,-,-,announced,08-2021,NA,NA,NA,-,False,False,False,False
ESP-02391-01205_04_04_00,ESP,Asturias,Naturgy,hydrogen,electrolysers,initial,-,-,announced,08-2021,NA,NA,NA,-,False,False,False,False
ESP-03086-01205_08_00_00,ESP,Badajoz,Naturgy,wind,deployment,initial,41 million EUR,50 MW,actual,-,-,NA,NA,-,False,False,False,False
ESP-03086-01205_06_00_00,ESP,Badajoz,Naturgy,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-00068-01205_09_02_00,ESP,Barcelona,Naturgy,biomass,bioenergy_production,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-00068-01205_04_01_00,ESP,Barcelona,Naturgy,hydrogen,green_hydrogen,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07211-01205_08_00_00,ESP,Batea,Naturgy,wind,deployment,initial,40 million EUR,30 MW,actual,12-2023,12-2023,NA,NA,400,False,False,False,False
ESP-07578-01205_08_00_00,ESP,Camino de la Madera,Naturgy,wind,deployment,initial,10 million EUR,9.2 MW,operational,-,-,06-2023,NA,-,False,False,False,False
ESP-05204-01205_08_00_00,ESP,Canary Islands,Naturgy,wind,deployment,initial,-,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-05204-01205_06_00_00,ESP,Canary Islands,Naturgy,solar,deployment,initial,-,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-07376-01205_06_00_00,ESP,Carpio de Tajo,Naturgy,solar,deployment,initial,-,50 MW,operational,01-2019,05-2019,05-2019,NA,-,False,False,False,False
ESP-04890-01205_04_01_00,ESP,Castilla y León,Naturgy,hydrogen,green_hydrogen,initial,-,-,announced,03-2021,NA,NA,NA,-,False,False,False,False
ESP-04890-01205_06_00_00,ESP,Castilla y León,Naturgy,solar,deployment,initial,-,-,actual,03-2021,-,NA,NA,-,False,False,False,False
ESP-02470-01205_06_00_00,ESP,Castilla-La Mancha,Naturgy,solar,deployment,initial,-,21.7 MW,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-07447-01205_08_00_00,ESP,Castromonte,Naturgy,wind,deployment,initial,€39 million,35.2 MW,operational,-,-,08-2022,NA,-,False,False,False,False
ESP-07579-01205_08_00_00,ESP,Castuera,Naturgy,wind,deployment,initial,-,-,actual,03-2023,-,NA,NA,-,False,False,False,False
ESP-07579-01205_06_00_00,ESP,Castuera,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-00166-01205_08_00_00,ESP,Catalonia,Naturgy,wind,deployment,initial,-,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-00166-01205_08_00_01,ESP,Catalonia,Naturgy,wind,deployment,first expansion,61 million EUR,-,actual,09-2022,-,NA,NA,-,False,False,False,False
ESP-06031-01205_04_01_00,ESP,Cerceda,Naturgy,hydrogen,green_hydrogen,initial,-,"4,000 tons per year",announced,09-2022,NA,NA,NA,-,False,False,False,False
ESP-06031-01205_04_04_00,ESP,Cerceda,Naturgy,hydrogen,electrolysers,initial,-,30 MW,announced,09-2022,NA,NA,NA,-,False,False,False,False
ESP-04476-01205_06_00_00,ESP,Ciudad Real,Naturgy,solar,deployment,initial,-,-,actual,09-2019,09-2019,NA,NA,-,False,False,False,False
ESP-02179-01205_06_00_00,ESP,Cáceres,Naturgy,solar,deployment,initial,150 million EUR,-,actual,-,05-2024,NA,NA,-,False,False,False,False
ESP-02003-01205_08_00_00,ESP,Extremadura,Naturgy,wind,deployment,initial,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-02003-01205_06_00_00,ESP,Extremadura,Naturgy,solar,deployment,initial,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-02003-01205_06_00_01,ESP,Extremadura,Naturgy,solar,deployment,first expansion,-,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-02233-01205_08_00_00,ESP,Galicia,Naturgy,wind,deployment,initial,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-02233-01205_08_00_01,ESP,Galicia,Naturgy,wind,deployment,first expansion,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-02233-01205_06_00_00,ESP,Galicia,Naturgy,solar,deployment,initial,528 million EUR,-,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-01745-01205_08_00_00,ESP,Gran Canaria,Naturgy,wind,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-01745-01205_06_00_00,ESP,Gran Canaria,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07580-01205_08_00_00,ESP,Gran Canaria I,Naturgy,wind,deployment,initial,20.5 million EUR,-,operational,-,-,06-2023,NA,-,False,False,False,False
ESP-07580-01205_08_00_01,ESP,Gran Canaria I,Naturgy,wind,deployment,first expansion,-,-,operational,-,-,06-2023,NA,-,False,False,False,False
ESP-07580-01205_06_00_00,ESP,Gran Canaria I,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07581-01205_08_00_00,ESP,Gran Canaria II,Naturgy,wind,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07581-01205_08_00_01,ESP,Gran Canaria II,Naturgy,wind,deployment,first expansion,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07581-01205_06_00_00,ESP,Gran Canaria II,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-02320-01205_06_00_00,ESP,Huelva,Naturgy,solar,deployment,initial,-,36 MW,announced,-,NA,NA,NA,-,False,False,False,False
ESP-02216-01205_04_01_00,ESP,Isla Verde Wastewater Treatment Plant,Naturgy,hydrogen,green_hydrogen,initial,€7 million,"135,000 tons",announced,03-2022,NA,NA,NA,-,False,False,False,False
ESP-07582-01205_06_00_00,ESP,La Albuera and Badajoz,Naturgy,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07583-01205_08_00_00,ESP,La Pobla Massaluca,Naturgy,wind,deployment,initial,40 million euros,30 MW,actual,-,-,NA,NA,400,False,False,False,False
ESP-02171-01205_04_01_00,ESP,La Robla,Naturgy,hydrogen,green_hydrogen,initial,€485 million,"9,000 tonnes per year",announced,12-2020,NA,NA,NA,-,False,False,False,False
ESP-02171-01205_04_01_01,ESP,La Robla,Naturgy,hydrogen,green_hydrogen,first expansion,€485 million,-,announced,12-2020,NA,NA,NA,-,False,False,False,False
ESP-02171-01205_04_04_00,ESP,La Robla,Naturgy,hydrogen,electrolysers,initial,-,-,announced,12-2020,NA,NA,NA,-,False,False,False,False
ESP-02171-01205_04_04_01,ESP,La Robla,Naturgy,hydrogen,electrolysers,first expansion,€485 million,-,announced,12-2020,NA,NA,NA,-,False,False,False,False
ESP-02171-01205_06_04_00,ESP,La Robla,Naturgy,solar,modules,initial,-,-,announced,12-2020,NA,NA,NA,-,False,False,False,False
ESP-07584-01205_08_00_00,ESP,Les Forques II,Naturgy,wind,deployment,initial,-,12 MW,actual,-,-,NA,NA,-,False,False,False,False
ESP-07584-01205_06_00_00,ESP,Les Forques II,Naturgy,solar,deployment,initial,-,12 MW,operational,-,-,-,NA,-,False,False,False,False
ESP-05206-01205_04_01_00,ESP,Meirama,Naturgy,hydrogen,green_hydrogen,initial,-,"4,000 tonnes",announced,02-2023,NA,NA,NA,-,False,False,False,False
ESP-05206-01205_04_01_01,ESP,Meirama,Naturgy,hydrogen,green_hydrogen,first expansion,-,"4,000 tonnes",actual,02-2023,-,NA,NA,-,False,False,False,False
ESP-05206-01205_04_04_00,ESP,Meirama,Naturgy,hydrogen,electrolysers,initial,-,30 MW,announced,02-2023,NA,NA,NA,-,False,False,False,False
ESP-05206-01205_04_04_01,ESP,Meirama,Naturgy,hydrogen,electrolysers,first expansion,-,"4,000 tonnes",actual,02-2023,-,NA,NA,-,False,False,False,False
ESP-04906-01205_06_00_00,ESP,Murcia,Naturgy,solar,deployment,initial,-,34 MW,actual,09-2022,09-2022,NA,NA,-,False,False,False,False
ESP-05207-01205_06_00_00,ESP,Ocaña,Naturgy,solar,deployment,initial,76 million EUR,-,actual,-,12-2024,NA,NA,-,False,False,False,False
ESP-05208-01205_04_00_00,ESP,Palos,Naturgy,hydrogen,deployment,initial,-,"75,500 kg",announced,02-2021,NA,NA,NA,-,False,False,False,False
ESP-07585-01205_08_00_00,ESP,Plasencia,Naturgy,wind,deployment,initial,41 million EUR,50 MW,actual,03-2023,-,NA,NA,-,False,False,False,False
ESP-07585-01205_06_00_00,ESP,Plasencia,Naturgy,solar,deployment,initial,16 million EUR,-,actual,03-2023,-,NA,NA,-,False,False,False,False
ESP-07586-01205_06_00_00,ESP,Porzuna,Naturgy,solar,deployment,initial,€100 million,-,actual,-,10-2018,NA,NA,-,False,False,False,False
ESP-07586-01205_06_00_01,ESP,Porzuna,Naturgy,solar,deployment,first expansion,-,-,operational,-,10-2018,-,NA,-,False,False,False,False
ESP-07587-01205_06_00_00,ESP,Puerto del Rosario,Naturgy,solar,deployment,initial,-,3.9 MW,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07587-01205_08_00_00,ESP,Puerto del Rosario,Naturgy,wind,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07588-01205_08_00_00,ESP,Pujalt,Naturgy,wind,deployment,initial,-,48 MW,actual,-,-,NA,NA,-,False,False,False,False
ESP-07588-01205_06_00_00,ESP,Pujalt,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-01099-01205_08_00_00,ESP,Tarragona,Naturgy,wind,deployment,initial,40 million EUR,30 MW,actual,-,12-2023,NA,NA,400,False,False,False,False
ESP-07589-01205_06_00_00,ESP,Telde I,Naturgy,solar,deployment,initial,-,-,announced,06-2023,NA,NA,NA,-,False,False,False,False
ESP-07590-01205_06_00_00,ESP,Telde IV,Naturgy,solar,deployment,initial,-,-,announced,06-2023,NA,NA,NA,-,False,False,False,False
ESP-07591-01205_06_00_00,ESP,Telde V,Naturgy,solar,deployment,initial,20 million euros,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-05209-01205_09_00_00,ESP,Torrefarrera,Naturgy,biomass,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07592-01205_08_00_00,ESP,Trucafort,Naturgy,wind,deployment,initial,-,30 MW,actual,-,-,NA,NA,-,False,False,False,False
ESP-07592-01205_08_00_01,ESP,Trucafort,Naturgy,wind,deployment,first expansion,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07593-01205_08_00_00,ESP,Turó del Magre,Naturgy,wind,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07593-01205_06_00_00,ESP,Turó del Magre,Naturgy,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-05210-01205_09_02_00,ESP,Utiel,Naturgy,biomass,bioenergy_production,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-01177-01205_04_00_00,ESP,Valencia,Naturgy,hydrogen,deployment,initial,-,"75,500 kg",announced,02-2021,NA,NA,NA,-,False,False,False,False
ESP-05211-01205_09_02_00,ESP,Vila-Sana,Naturgy,biomass,bioenergy_production,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07212-01205_08_00_00,ESP,Vilalba dels Arcs,Naturgy,wind,deployment,initial,40 million EUR,30 MW,actual,12-2023,12-2023,NA,NA,400,False,False,False,False
ESP-05212-01205_06_00_00,ESP,Zorita de los Canes,Naturgy,solar,deployment,initial,76 million EUR,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-05212-01205_06_00_01,ESP,Zorita de los Canes,Naturgy,solar,deployment,first expansion,76 million EUR,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07375-07944_06_00_00,ESP,Almodóvar del Campo,"Naturgy Energy Group, S.A.",solar,deployment,initial,-,49 MW,announced,06-2018,NA,NA,NA,-,False,False,False,False
ESP-01124-07944_06_00_00,ESP,Toledo,"Naturgy Energy Group, S.A.",solar,deployment,initial,-,50 MW,actual,06-2018,06-2018,NA,NA,-,False,False,False,False
ESP-07594-07946_08_07_00,ESP,Aviles,Navantia,wind,other,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-02546-07946_08_02_00,ESP,Avilés,Navantia,wind,tower_manufacturing,initial,-,-,actual,06-2021,-,NA,NA,-,False,False,False,False
ESP-02546-07946_08_07_00,ESP,Avilés,Navantia,wind,other,initial,-,-,actual,06-2021,-,NA,NA,-,False,False,False,False
ESP-05025-07946_08_07_00,ESP,Brest,Navantia,wind,other,initial,-,-,actual,09-2019,-,NA,NA,250,False,False,False,False
ESP-07458-07946_08_07_00,ESP,Fene,Navantia,wind,other,initial,-,-,actual,06-2020,06-2020,NA,NA,-,False,False,False,False
ESP-07458-07946_08_07_01,ESP,Fene,Navantia,wind,other,first expansion,-,-,actual,07-2021,-,NA,NA,-,False,False,False,False
ESP-07595-07946_08_00_00,ESP,Ferrol Estuary,Navantia,wind,deployment,initial,-,-,announced,02-2023,NA,NA,NA,-,False,False,False,False
ESP-07458-07947_08_02_00,ESP,Fene,Navantia Seanergies,wind,tower_manufacturing,initial,€36 million,-,actual,07-2022,07-2022,NA,NA,-,False,False,False,False
ESP-07458-07947_08_02_01,ESP,Fene,Navantia Seanergies,wind,tower_manufacturing,first expansion,36 million EUR,-,operational,07-2022,07-2022,12-2022,NA,-,False,False,False,False
ESP-07052-07947_08_07_00,ESP,Puerto Real,Navantia Seanergies,wind,other,initial,-,-,actual,-,-,NA,NA,1000,False,False,False,False
ESP-07458-07948_08_07_00,ESP,Fene,Navantia Seanergies-Windar Renovables,wind,other,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
ESP-02546-07950_08_07_00,ESP,Avilés,Navantia-Windar,wind,other,initial,-,-,actual,-,05-2019,NA,NA,-,False,False,False,False
ESP-07458-07950_08_02_00,ESP,Fene,Navantia-Windar,wind,tower_manufacturing,initial,-,-,announced,07-2021,NA,NA,NA,-,False,False,False,False
ESP-07458-07950_08_02_01,ESP,Fene,Navantia-Windar,wind,tower_manufacturing,first expansion,-,-,actual,07-2021,-,NA,NA,-,False,False,False,False
ESP-07458-07950_08_07_00,ESP,Fene,Navantia-Windar,wind,other,initial,-,-,announced,07-2021,NA,NA,NA,-,False,False,False,False
ESP-07052-07950_08_07_00,ESP,Puerto Real,Navantia-Windar,wind,other,initial,-,-,actual,11-2022,-,NA,NA,-,False,False,False,False
ESP-01467-02373_04_01_00,ESP,Puertollano,Nel,hydrogen,green_hydrogen,initial,€150 million,20 MW,actual,11-2020,-,NA,NA,-,False,False,False,False
ESP-01467-02373_04_04_00,ESP,Puertollano,Nel,hydrogen,electrolysers,initial,€150 million,20 MW,actual,11-2020,-,NA,NA,-,False,False,False,False
PRT-01024-05655_04_01_00,PRT,Sines,NeoGreen Hydrogen Corp.,hydrogen,green_hydrogen,initial,1.04 billion USD,-,announced,11-2022,NA,NA,NA,-,False,False,False,False
PRT-01024-05655_04_04_00,PRT,Sines,NeoGreen Hydrogen Corp.,hydrogen,electrolysers,initial,1.04 billion USD,500 megawatts,announced,11-2022,NA,NA,NA,-,False,False,False,False
PRT-01024-06588_04_01_00,PRT,Sines,NeoGreen Portugal,hydrogen,green_hydrogen,initial,€1.04 billion,500 MW,announced,11-2022,NA,NA,NA,-,False,False,False,False
PRT-01024-06588_04_04_00,PRT,Sines,NeoGreen Portugal,hydrogen,electrolysers,initial,€1.04 billion,500 MW,announced,11-2022,NA,NA,NA,-,False,False,False,False
PRT-04592-01813_06_00_00,PRT,Azambuja,Neoen,solar,deployment,initial,-,-,actual,12-2022,12-2022,NA,NA,-,False,False,False,False
PRT-02780-01813_06_00_00,PRT,Lisbon,Neoen,solar,deployment,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
PRT-07320-01813_06_00_00,PRT,Rio Maior,Neoen,solar,deployment,initial,-,-,actual,12-2022,12-2022,NA,NA,-,False,False,False,False
PRT-07616-01813_06_00_00,PRT,Torre Bela,Neoen,solar,deployment,initial,-,-,actual,12-2022,12-2022,NA,NA,-,False,False,False,False
ESP-07620-07951_08_07_00,ESP,As Somozas,Nervion Naval Offshore,wind,other,initial,-,-,announced,02-2023,NA,NA,NA,-,False,False,False,False
ESP-04476-05659_06_00_00,ESP,Ciudad Real,Nestlé,solar,deployment,initial,-,-,actual,04-2022,-,NA,NA,-,False,False,False,False
ESP-07621-05670_06_00_00,ESP,Agenor,NextEnergy Capital,solar,deployment,initial,-,50 MW,actual,-,-,NA,NA,-,False,False,False,False
PRT-07420-07953_06_00_00,PRT,Santarém,NextEnergy Solar Fund,solar,deployment,initial,-,210 MW,actual,-,-,NA,NA,-,False,False,False,False
ESP-03619-07954_06_00_00,ESP,Cadiz,NextPower 3 ESG,solar,deployment,initial,-,50 MW,actual,09-2021,09-2021,NA,NA,-,False,False,False,False
ESP-01186-07955_06_00_00,ESP,Various,NextPower III ESG,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
PRT-01186-07955_06_00_00,PRT,Various,NextPower III ESG,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-07199-03241_06_00_00,ESP,Garnacha,Nextracker,solar,deployment,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-00068-00577_07_99_00,ESP,Barcelona,Nissan,vehicle,NA,initial,-,-,cancelled,-,NA,NA,05-2020,-,False,False,False,False
ESP-00705-00577_01_00_00,ESP,Melilla,Nissan,battery,deployment,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
ESP-01830-01827_06_00_00,ESP,Cuenca,Nofar Energy,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
PRT-02780-07956_06_00_00,PRT,Lisbon,Nomad Electric,solar,deployment,initial,-,-,announced,01-2023,NA,NA,NA,-,False,False,False,False
ESP-07623-07472_08_03_00,ESP,Barásoain,Nordex,wind,nacelle_assembly,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-01830-07472_08_07_00,ESP,Cuenca,Nordex,wind,other,initial,64.3 million EUR,-,actual,11-2021,11-2021,NA,NA,-,False,False,False,False
ESP-07624-07472_08_03_00,ESP,La Vall d’Uixo,Nordex,wind,nacelle_assembly,initial,-,-,actual,12-2019,12-2019,NA,NA,-,False,False,False,False
ESP-07237-07472_08_02_00,ESP,Motilla del Palancar,Nordex,wind,tower_manufacturing,initial,-,-,operational,06-2020,06-2020,12-2020,NA,300,False,False,False,False
ESP-07625-07472_08_03_00,ESP,Vall D'Uxo,Nordex,wind,nacelle_assembly,initial,-,-,actual,04-2021,04-2021,NA,NA,-,False,False,False,False
ESP-07625-07472_08_02_00,ESP,Vall D'Uxo,Nordex,wind,tower_manufacturing,initial,-,-,actual,04-2021,04-2021,NA,NA,-,False,False,False,False
ESP-07626-07472_08_03_00,ESP,Vall D’Uxo,Nordex,wind,nacelle_assembly,initial,-,-,announced,-,NA,NA,NA,-,False,False,False,False
ESP-07627-07472_08_02_00,ESP,Vall d'Uixó,Nordex,wind,tower_manufacturing,initial,€45 million,-,actual,05-2021,05-2021,NA,NA,-,False,False,False,False
ESP-07627-07472_08_03_00,ESP,Vall d'Uixó,Nordex,wind,nacelle_assembly,initial,€45 million,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-05264-05689_04_04_00,ESP,Lumbier,Nordex Electrolyzers,hydrogen,electrolysers,initial,12 million EUR,10 kg/h,actual,-,-,NA,NA,-,False,False,False,False
ESP-01467-05689_04_04_00,ESP,Puertollano,Nordex Electrolyzers,hydrogen,electrolysers,initial,12 million EUR,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-01467-05689_04_04_01,ESP,Puertollano,Nordex Electrolyzers,hydrogen,electrolysers,first expansion,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-00767-00580_04_01_00,ESP,Navarra,Norsk Hydro,hydrogen,green_hydrogen,initial,-,-,cancelled,-,NA,NA,11-2024,-,False,False,False,False
ESP-06917-07958_06_00_00,ESP,Mula,Northleaf Capital Partners,solar,deployment,initial,-,-,actual,-,-,NA,NA,-,False,False,False,False
ESP-04906-07958_06_00_00,ESP,Murcia,Northleaf Capital Partners,solar,deployment,initial,-,-,operational,-,-,-,NA,-,False,False,False,False
ESP-02216-02384_04_01_00,ESP,Isla Verde Wastewater Treatment Plant,Norvento,hydrogen,green_hydrogen,initial,€7 million,"135,000 tonnes",announced,03-2022,NA,NA,NA,-,False,False,False,False
